name,address,lat,lon,timings
Foreign Cinema,"2534 Mission District Street, San Francisco 94110",37.7565305556,-122.4190444444,"5:30 PM to 10 PM (Mon-Wed),5:30 PM to 11 PM (Thu-Fri),11 AM to 2:30 PM, 5:30 PM to 11 PM (Sat),11 AM to 2:30 PM, 5:30 PM to 10 PM (Sun)"
Gary Danko,"800 North Point Street, San Francisco 94109",37.8057055556,-122.4205638889,5 PM to 12 Midnight (Mon-Sun)
Nopa,"560 Divisadero Street, San Francisco 94117",37.7748527778,-122.4378805556,"5 PM to 1 AM (Mon-Fri),11 AM to 2:30 PM, 5 PM to 1 AM (Sat-Sun)"
The Buena Vista,"2765 Hyde Street, San Francisco 94109",37.8066250000,-122.4206611111,"9 AM to 2 AM (Mon-Fri),8 AM to 2 AM (Sat-Sun)"
Absinthe Brasserie & Bar,398 Hayes Street 94102,37.7769700000,-122.4229400000,"11:30 AM to 11 PM (Mon-Wed), 11:30 AM to 12 Midnight (Thu-Fri), 11 AM to 12 Midnight (Sat), 11 AM to 10 PM (Sun)"
Tommy's Joynt,"1101 Geary Boulevard, San Francisco 94109",37.7855190000,-122.4218110000,10 AM to 2 AM
21st Amendment Brewery,"563 2nd Street, San Francisco 94107",37.7824270000,-122.3926110000,"11:30 AM to 12 Midnight (Mon-Sat),10 AM to 12 Midnight (Sun)"
Thirsty Bear Brewing Company,"661 Howard Street, SOMA 94105",37.7855600000,-122.3996400000,"11:30 AM to 10 PM (Mon-Thu), 11:30 AM to 11 PM (Fri), 12 Noon to 11 PM (Sat), 12 Noon to 10 PM (Sun)"
Range,"842 Valencia Street, San Francisco 94110",37.7594305556,-122.4214555556,"Closed (Mon),6 PM to 10 PM (Tue-Thu),5:30 PM to 10 PM (Fri-Sun)"
Johnny Foley's,"243 O'Farrell Street, San Francisco 94102",37.7864611111,-122.4088833333,11:30 AM to 1:30 AM (Mon-Sun)
Zeitgeist,"199 Valencia Street, San Francisco 94103",37.7701222222,-122.4221027778,9 AM to 2 AM (Mon-Sun)
Magnolia,1398 Haight Street 94117,37.7704100000,-122.4444200000,"11 AM to 12 Midnight (Mon-Thu),11 AM to 1 AM (Fri),10 AM to 1 AM (Sat),10 AM to 12 Midnight (Sun)"
Monk's Kettle,"3141 16th Street, San Francisco 94103",37.7647250000,-122.4230805556,12 Noon to 2 AM (Mon-Sun)
Calzone's Pizza Cucina,"430 Columbus Avenue, San Francisco 94133",37.7989083333,-122.4082333333,11:30 AM to 1 AM (Mon-Sun)
Tonga Room & Hurricane Bar,"Fairmont San Francisco Hotel, First Floor, 950 Mason Street, San Francisco 94108",37.7918694444,-122.4096611111,"Closed (Mon-Tue),5 PM to 11:30 PM (Wed, Thu, Sun), 5 PM to 12:30 AM (Fri-Sat)"
Alembic Bar,"1725 Haight Street, San Francisco 94117",37.7695777778,-122.4512555556,"4 PM to 2 AM (Mon-Fri),12 Noon to 2 AM (Sat-Sun)"
Ryoko's,"619 Taylor Street, San Francisco 94102",37.7881666667,-122.4118277778,6 PM to 2 AM (Mon-Sun)
Hard Rock Cafe,"39 Pier #256, San Francisco 94133",37.8086305556,-122.4099194444,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)"
Delarosa,2175 Chestnut Street 94123,37.8002870000,-122.4391102245,"11:30 AM to 12 Midnight (Mon-Wed), 11:30 AM to 1 AM (Thu-Fri), 11 AM to 1 AM (Sat), 11 AM to 12 Midnight (Sun)"
Puccini & Pinetti,"Hotel Abri, First Floor, 129 Ellis Street, San Francisco 94102",37.7854277778,-122.4087000000,"11 AM to 11 PM (Mon-Fri),9 AM to 12 Midnight (Sat-Sun)"
