name,address,lat,lon,timings
Tartine Bakery,"600 Guerrero Street, San Francisco 94110",37.7614861111,-122.4239500000,"8 AM to 7 PM (Mon), 7:30 AM to 7 PM (Tue-Wed), 7:30 AM to 8 PM (Thu-Fri), 8 AM to 8 PM (Sat-Sun)"
Boudin Bakery,"160 Jefferson Street, Lower Level, San Francisco 94133",37.8087800000,-122.4146440000,"8 AM to 9 PM (Mon-Fri, Sun), 8 AM to 10 PM (Sat)"
Boudin Bakery & Cafe,"Pier 39, San Francisco 94133",37.8088722222,-122.4100027778,8 AM to 11 PM (Mon-Sun)
Honey Honey,"599 Post Street, San Francisco 94102",37.7878944444,-122.4115972222,7:30 AM to 10 PM (Mon-Sun)
Mission Beach Cafe,"198 Guerrero Street, San Francisco 94103",37.7680638889,-122.4246138889,"7 AM to 10 PM (Mon-Thu),7 AM to 11 PM (Fri),9 AM to 11 PM (Sat),9 AM to 3:30 PM (Sun)"
Sweet Maple,2101 Sutter Street 94115,37.7856700000,-122.4357600000,8 AM to 3 PM
Craftsman and Wolves,"746 Valencia Street, San Francisco 94110",37.7608222222,-122.4216222222,"7 AM to 6 PM (Mon-Thu),7 AM to 7 PM (Fri),8 AM to 7 PM (Sat),8 AM to 6 PM (Sun)"
Home Plate,"2274 Lombard Street, San Francisco 94123",37.7996055556,-122.4389638889,7 AM to 3 PM (Mon-Sun)
Pork Store Cafe,"1451 Haight Street, San Francisco 94117",37.7701194444,-122.4462500000,"7 AM to 3:30 PM (Mon-Fri),8 AM to 4 PM (Sat-Sun)"
Samovar Yerba Buena,"730 Howard Street, SOMA, San Francisco 94103",37.7841900000,-122.4016600000,"9 AM to 8 PM (Mon-Wed),9 AM to 9 PM (Thu-Sun)"
Caffe Greco,"423 Columbus Avenue, San Francisco 94133",37.7989500000,-122.4083944444,"7 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 7 AM to 12 Midnight (Fri-Sat)"
Universal Cafe,"2814 19th Street, Mission, Portero Hill 94110",37.7605600000,-122.4101200000,"5:30 PM to 9 PM (Tue), 10 AM to 2 PM, 5:30 PM to 9 PM (Wed-Thu), 10 AM to 2 PM, 5:30 PM to 10 PM (Fri), 9 AM to 3 PM, 5:30 PM to 10 PM (Sat), 9 AM to 3 PM (Sun), Mon Closed"
Cafe Flore,"2298 Market Street, San Francisco 94114",37.7646170000,-122.4329110000,"10 AM to 12 Midnight (Mon-Fri),8 AM to 12 Midnight (Sat-Sun)"
Farm:Table,"754 Post Street, San Francisco 94109",37.7875750000,-122.4142916667,"Closed (Mon),7:30 AM to 2 PM (Tue-Fri),8 AM to 3 PM (Sat-Sun)"
The Crepe Cafe,"Pier 39, San Francisco 94133",37.8096972222,-122.4103305556,"9 AM to 9 PM (Mon-Fri),9 AM to 10 PM (Sat-Sun)"
Just For You Cafe,"732 22nd Street, San Francisco 94107",37.7579111111,-122.3889250000,"7:30 AM to 3 PM (Mon-Fri),8 AM to 5 PM (Sat-Sun)"
Cafe Bean,"800 Sutter Street, San Francisco 94109",37.7886805556,-122.4135888889,"7 AM to 6 PM (Mon-Sat),7 AM to 5 PM (Sun)"
Pat's Cafe,2330 Taylor Street 94133,37.8040200000,-122.4148700000,7:30 AM to 2:30 PM
Caffe Trieste,"601 Vallejo Street, San Francisco 94133",37.7987888889,-122.4073638889,6:30 AM to 11 PM (Mon-Sun)
Crepes on Cole,"100 Carl Street, San Francisco 94117",37.7658277778,-122.4500500000,7 AM to 10:30 PM (Mon-Sun)
