_id,name,category_code,number_of_employees,founded_year,deadpooled_year,description,latitude,longitude,country,state,city,monedas,total_amount_raised,geo,num_companies,num_employees,total_money
5d83a90255488441b3fff55b,Kyte,games_video,40,2006.0,,Online & Mobile Video Platform,37.788482,-122.409173,USA,CA,San Francisco,Dolares estadounidenses,23400000.0,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",14,1532,545170000.0
5d83a90255488441b3fff563,Ustream,games_video,250,2007.0,,Live Social Video Community,37.392936,-122.07948,USA,CA,San Francisco,Dolares estadounidenses,60100000.0,"{'type': 'Point', 'coordinates': [-122.07948, 37.392936]}",8,1895,457830000.0
5d83a90255488441b3fff572,hi5,games_video,100,2003.0,,,37.788668,-122.400558,USA,CA,San Francisco,Dolares estadounidenses,52000000.0,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",20,1910,716470000.0
5d83a90255488441b3fff579,Curse,games_video,58,2006.0,,Online games media company,37.787092,-122.399972,USA,CA,San Francisco,Dolares estadounidenses,12000000.0,"{'type': 'Point', 'coordinates': [-122.399972, 37.787092]}",23,2500,754270000.0
5d83a90255488441b3fff57d,Kongregate,games_video,20,2006.0,,Gaming social network,37.786942,-122.401245,USA,CA,San Francisco,Dolares estadounidenses,19000000.0,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",22,2000,714270000.0
5d83a90255488441b3fff58a,Crunchyroll,games_video,50,2008.0,,Digital Entertainment and Media Platform,37.781265,-122.393229,USA,CA,San Francisco,Dolares estadounidenses,4800000.0,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",17,1534,418900000.0
5d83a90255488441b3fff58d,Rupture,games_video,25,,,Gaming Social Network,37.783898,-122.395234,USA,CA,San Francisco,Dolares estadounidenses,3000000.0,"{'type': 'Point', 'coordinates': [-122.395234, 37.783898]}",27,2662,706470000.0
5d83a90255488441b3fff59d,Zynga,games_video,115,2007.0,,Network of gaming applications,37.765158,-122.404234,USA,CA,San Francisco,Dolares estadounidenses,860000000.0,"{'type': 'Point', 'coordinates': [-122.404234, 37.765158]}",4,380,919480000.0
5d83a90255488441b3fff5bd,Serious Business,games_video,22,2008.0,,Social Game Development Studio,37.7893215,-122.4013624,USA,CA,San Francisco,Dolares estadounidenses,4000000.0,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",20,1910,716470000.0
5d83a90255488441b3fff5bf,Kabam,games_video,650,2006.0,,Leader in Gaming,37.3944561,-122.0785314,USA,CA,San Francisco,Dolares estadounidenses,125000000.0,"{'type': 'Point', 'coordinates': [-122.0785314, 37.3944561]}",6,1522,313730000.0
5d83a90255488441b3fff5c3,Citizen Sports,games_video,27,,,,37.777513,-122.397044,USA,CA,San Francisco,Dolares estadounidenses,10000000.0,"{'type': 'Point', 'coordinates': [-122.397044, 37.777513]}",12,1397,351200000.0
5d83a90255488441b3fff5d5,ngmoco,games_video,150,2008.0,,Games for the iPhone,37.7705096,-122.4015807,USA,CA,San Francisco,Dolares estadounidenses,44800000.0,"{'type': 'Point', 'coordinates': [-122.4015807, 37.7705096]}",5,407,929480000.0
5d83a90255488441b3fff603,Unity Technologies,games_video,200,2004.0,,Democratizing interactive 3D,55.6924605,12.530107,USA,CA,San Francisco,Dolares estadounidenses,17500000.0,"{'type': 'Point', 'coordinates': [12.530107, 55.6924605]}",1,200,17500000.0
